                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                0.68424,                0.40652,                0.83815,                0.92179,                0.47632,                0.83502,                0.91579,                0.89041,                0.93398,                0.44267,                 1.6963,                0.91872,                0.97405,                 1.8773,                0.81781,                0.98548,             0.00028308,             0.00028308,             0.00028308
                     84,                0.73015,                0.42346,                0.83976,                0.96041,                0.45978,                0.83589,                0.90736,                0.89073,                0.91644,                0.44906,                 1.7163,                0.95239,                0.99942,                 1.8379,                0.92484,                0.98768,             0.00026894,             0.00026894,             0.00026894
                     85,                0.68845,                0.40613,                 0.8288,                0.86583,                0.42297,                0.83063,                0.93481,                0.88457,                0.91373,                0.43725,                 1.7584,                  1.015,                 1.0209,                 1.8442,                0.97087,                0.99514,             0.00025479,             0.00025479,             0.00025479
                     86,                0.68927,                0.42189,                0.84656,                0.87789,                0.44229,                0.84458,                0.94672,                0.86563,                0.91434,                0.45519,                 1.7599,                 1.0347,                 1.0028,                 1.8089,                0.98018,                0.97972,             0.00024064,             0.00024064,             0.00024064
                     87,                 0.6927,                0.40249,                0.83368,                0.86946,                0.39297,                 0.8328,                0.95422,                0.86127,                0.91678,                0.45401,                 1.7576,                 1.0209,                 1.0028,                   1.79,                0.97692,                0.97619,              0.0002265,              0.0002265,              0.0002265
                     88,                0.73327,                0.41271,                0.84085,                0.86044,                0.35368,                0.83428,                0.96322,                0.84719,                0.91892,                0.45269,                 1.7639,                 1.0225,                 1.0305,                 1.8027,                 1.0047,                0.99894,             0.00021235,             0.00021235,             0.00021235
                     89,                0.67366,                0.38794,                0.85898,                0.82429,                0.35286,                0.85556,                0.95902,                0.84581,                0.91877,                0.41247,                 1.7878,                 1.0576,                 1.0597,                 1.8163,                 1.0273,                 1.0174,              0.0001982,              0.0001982,              0.0001982
                     90,                0.69355,                0.39228,                0.83579,                0.89755,                0.40353,                0.82494,                0.96399,                0.83718,                0.91969,                0.39831,                  1.842,                 1.0603,                 1.0725,                 1.9068,                0.99368,                 1.0373,             0.00018406,             0.00018406,             0.00018406
                     91,                0.65413,                0.37741,                0.82992,                0.75285,                0.31289,                 0.8265,                0.87046,                0.81733,                 0.8681,                0.38717,                 1.9086,                 1.0632,                 1.0862,                 1.9669,                0.98077,                 1.0469,             0.00016991,             0.00016991,             0.00016991
                     92,                0.72058,                0.39944,                0.84331,                0.84017,                0.34508,                 0.8374,                0.90957,                0.78523,                0.86582,                0.35386,                 2.0392,                 1.0856,                 1.1188,                 2.0393,                 1.0861,                 1.0557,             0.00015576,             0.00015576,             0.00015576
                     93,                0.69001,                0.37891,                0.84472,                0.84238,                 0.3183,                0.83489,                0.89065,                0.78702,                0.86337,                0.36062,                 2.0101,                 1.0855,                  1.104,                 1.9968,                 1.1154,                 1.0426,             0.00014161,             0.00014161,             0.00014161
                     94,                 0.6296,                0.34929,                0.82636,                0.76791,                0.27714,                0.81919,                0.81779,                0.81445,                0.85839,                0.40893,                 1.8417,                 1.0676,                  1.043,                  1.814,                 1.1772,                 0.9974,             0.00012747,             0.00012747,             0.00012747
                     95,                0.64098,                0.36131,                0.83795,                0.79958,                0.34146,                0.83042,                0.87064,                0.79412,                0.86693,                 0.4241,                  1.838,                 1.0692,                 1.0526,                 1.8022,                 1.1822,                 1.0024,             0.00011332,             0.00011332,             0.00011332
                     96,                0.63079,                0.35196,                0.82954,                0.72811,                0.27308,                 0.8214,                0.87489,                0.78912,                0.86744,                0.36761,                 1.9304,                 1.0946,                 1.1247,                 1.8807,                 1.2304,                 1.0454,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.62544,                 0.3471,                 0.8548,                0.75206,                0.28169,                0.84388,                0.87251,                0.79191,                0.86707,                0.36282,                 1.9835,                 1.1162,                 1.1523,                 1.9343,                  1.242,                 1.0637,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.61383,                0.36392,                0.84434,                0.78535,                0.34057,                 0.8268,                0.85952,                 0.7939,                0.86561,                0.35199,                 2.0197,                 1.1158,                 1.1413,                 1.9882,                 1.2306,                 1.0679,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.61559,                0.35097,                 0.8304,                0.74707,                0.30271,                0.82477,                0.88896,                0.77362,                0.86649,                 0.3746,                 2.0071,                 1.1035,                 1.1234,                 1.9859,                 1.2151,                 1.0607,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 0.5688,                0.34688,                0.83235,                0.71428,                0.31104,                0.82975,                0.89432,                0.77646,                0.86113,                 0.3796,                 1.9483,                 1.0768,                 1.0797,                 1.9475,                 1.1704,                 1.0352,             4.2584e-05,             4.2584e-05,             4.2584e-05
